ID ,Nme in English,Name in Amharic,Position,Place of Assignment,Detail,,
577,Birhanu Feyisa,??? ?? ???? ???,????? ???,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
578,Seharla Abdulahi,???? ?/? ???? ?????,????? ???,??? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
579,Eifrah Ali Mussie,???? ?/? ???? ?? ??,????? ???,?????? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
580,Dr. Shumetie Gizaw,??? ?/? ??? ???,????? ???,?????? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
581,Bizunesh Mesert,???? ?/? ???? ???? ,????? ???,????? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
582,Buzena Alkedir,???? ?/? ??? ????? ,????? ???,????? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
583,Karie Chawuicha,??? ?? ?? ??? ,?????? ???? ???? ??? ????? ??? ,????????? ???? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
584,Kebede Yimam,??? ?? ??? ??? ,??? ????? ???,????????? ???? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
585,Aster Dawit,???? ?/? ???? ??? ,????? ???,????? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
586,Alemitu Oumod Oujilu,???? ?/? ???? ??? ???,?????  ??? ????? ??? ,????? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
587,Firehiwot Ayalew,???? ?/? ?????? ????,????? ???,?????? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
588,Feriha Mehammmed,??? ?/? ???? ????,????? ???,?????? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
589,Misrak Mamo,???? ?/? ???? ??,????? ???,?????? ???? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
590,Simegne Wube,???? ?/? ??? ??,????? ???,?????? ???? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
591,Beyene G/Meskel,??? ?? ??? ?/???? ,????????? ??????? ????? ??? ????? ??? ,?????? ???? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
592,Getachew Balcha,??? ?? ???? ??? ,????? ???,?????? ???? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
593,Getachew Adem,??? ?? ???? ??? ,?????? ??? ???? ????? ???? ??? ??? ?/????? ,????? ??? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
594,Kassahun Gofie,??? ?? ???? ??,????? ???,?????? ?????? ???? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
595,Temesgen Tiruneh,??? ?? ????? ???? ,????? ???,?????? ?????? ???? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
596,Tewodros G/Egziabher,??? ?? ???? ?/???????,?????? ??? ???? ???? ?? ??????,?????? ???? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
597,Zemedie Tefera,??? ?? ??? ??? ,?????? ??? ???? ?? ?????? ???? ??? ???? ?? ?????? ,?????? ???? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
598,Tesfaye Tulu,??? ?? ???? ??,?????? ??? ???? ????? ????? ??? ??? ??? ???? ?? ?????? ,?????? ???? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
599,Netsanet Abera,???? ?/? ???? ??? ,?????? ??? ???? ???? ??? ??? ????? ??? ??? ???? ??? ???? ?? ?????? ,?????? ???? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
600,Fitsum Arega,??? ?? ??? ???,?????? ??? ???? ????? ????? ?? ?/?? ???,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
601,Zekariyas Erkala,??? ?? ????? ????,???? ???? ????? ???,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
602,Worku Guangul,??? ?? ??? ???? ,??/?? ??????? ???? ?????? ????? ???,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
603,Assefa Abdu\,??? ?? ??? ???,???? ????? ????? ????? ???? ???? ????? ???,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
604,G/Tinsay G/Michael,??? ?? ??????? ?/???? ,?????? ??? ???? ????? ????? ?/?? ????? ???? ????? ???? ??? ???? ????? ?/?? ?/???,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
605,Fisha Yitagesu,??? ?? ??? ????,????? ???? ?/?? ?????? ??? ???? ????? ???? ???? ???? ?????? ,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
606,Getachew Ambaye,??? ?? ???? ????,?????? ??? ???? ????? ????? ?/?? ??? ????,????? ????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
607,Zadig Abrha,??? ?? ??? ????,?????? ?? ???? ?????? ???? ???? ??????? ???? ,????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
608,Temesgen Burka,??? ?/? ????? ??? ,?????? ?? ???? ?????? ???? ???? ??????? ???? ,????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
609,Badat Nasha,??? ?? ??? ??,?????? ?? ???? ?????? ???? ???? ??????? ???? ,????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
610,Dr. Sintayehu W/Michael,??? ?/? ????? ?/???? ,?? ?????? ?????? ??? ????,?????? ?????? ????? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
611,Alebel Dessie,??? ?? ???? ?? ,????? ???,???? ???? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
612,Desta Bezabih,??? ?? ??? ????,????? ???,???? ???? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
613,Dr. Mandefro Eshetie,??? ?/? ????? ??? ,????? ?????? ??? ??? ????? ??? ,???? ???? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
614,Mitizu Mada,??? ?? ??? ??,?????? ??? ???? ????? ???? ??? ???? ???? ??? ???? ?? ?????? ,????? ????? ??? ???? ?? ???? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
615,Tesfalem Yihdego,??? ?? ?????? ????,?????? ??? ???? ???? ???? ???? ????? ???? ???? ??? ?/?/??????,????? ????? ??? ???? ?? ???? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
616,Mesfin Abebe,??? ?? ???? ??? ,?????? ??? ???? ???? ???? ???? ????? ???? ???? ??? ?/?/??????,????? ????? ??? ???? ?? ???? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
617,Tewolde Birhe,??? ?? ???? ???,????? ?????? ???? ?????? ,???? ??? ???? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
618,Worknesh Biru,???? ?/? ????? ?? ,?????? ??? ???? ?? ?????? ,???????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
619,Muferihat Kamil,????? ?/? ????? ??? ,?? ???,???? ????? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
620,Kiriya Ebrahim,????? ?/? ??? ?????  ,?? ???,?????? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
621,Shitaye Minale,????? ?/? ??? ???,???? ?? ???,???? ????? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
622,Mehammed Reshid Haji,????? ?? ???? ??? ?? ,???? ?? ???,?????? ??? ?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
623,Teklewold Atnafu,?? ?????? ????,??,????? ???,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
624,Bekalu Zeleke,?? ??? ??? ,?????? ,?????? ??? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
625,Getahun Nana,?? ???? ?? ,?????? ,?????? ??? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
626,Yemane Yossef Tesfaye,?? ??? ??? ????,?????? ???? ??? ?????? ???? ??? ???? ??,?????? ??? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
627,Tiruneh Mitafa,?? ???? ???,?????? ???? ??? ?? ?????? ???? ??,?????? ??? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
628,Gemechu Dubiso,?? ??? ???,?? ???? ,????? ?? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
629,Bayush Tesfaye,?/? ??? ????,???? ?? ???? ,????? ?? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
630,Meserte Damtie,?/? ???? ???,???? ?? ???? ,????? ?? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
631,Dagne Melaku Mehari,?? ?? ??? ??? ,?????? ,????? ???? ??? ??  ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
632,Tsegaye Asmamaw,?? ??? ????? ,?/??????,????? ???? ??? ??  ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
633,Belachew Anshiso Kenbecha,?? ???? ???? ????,?????? ,????? ???? ??? ??  ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
634,Lelise Desalegne Beyene,?/? ??? ???? ??? ,?/??????,????? ???? ??? ??  ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
635,Berihu Tewoldebirhan G/Silassie,?? ??? ???????? ??????,?/??????,????? ???? ??? ??  ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
636,Mehammed Ahmed Yeshaw,?? ???? ???? ??? ,?????? ,????? ?????? ??? ??? ??,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
637,Teoum Gebru,?? ??? ???,?/??????,????? ?????? ??? ??? ??,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
638,Birhanemeskel Waqgari,?? ???????? ???? ,?/??????,????? ?????? ??? ??? ??,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
639,Serawit Sileshi,?/? ???? ??? ,?/?? ??? ???,???? ??? ??? ???,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
640,Saniya Sani,?/? ??? ??,????? ????? ??? ???? ??? ???,???? ??? ??? ???,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
641,Dr. Addisu G/Egziabher,?/? ??? ?/??????? ,?? ????? ,?????? ???? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
642,Eshet Gebrie,?? ??? ??? ,?/?? ?????,?????? ???? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
643,Ayeligne Mulualem,?? ???? ????? ,????? ,????? ???????? ?? ??? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
644,Wodo Ato,?? ?? ??,?/????? ,????? ???????? ?? ??? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
645,Atkilt Gidey,?? ????? ??? ,?/????? ,????? ???????? ?? ??? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
646,Dr. Tewolde G/Egziabher,?/? ???? ?????????? ,?????? ????,????? ??? ???? ???? ??? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
647,Melaku Fenta,?? ??? ???,?/????? ????,????? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
648,Yihdego Seyum,?? ???? ???,?/????? ????,????? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
649,Tekola Ayfokiru,?? ??? ?????,?/????? ????,????? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
650,Kenea Yadeta Eirena,?? ??? ??? ???,?/????? ????,????? ??? ?????? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
651,Commander Reta Tesfaye Gardew,????? ?? ???? ???? ,????? ????? ???? ???? ????? ???? ?? ???,????? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
652,Dr. Belachew Mekuria,?/? ???? ????,????? ,?????? ???????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
653,Temesgen Tilahun,?? ????? ???? ,?/????? ,?????? ???????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
654,Anteneh Alemu,?? ????? ???,?/????? ,?????? ???????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
655,Mitiku Kassa,??? ?? ??? ?? ,????? ,????? ???? ??? ?? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
656,Damena Darota,??? ?? ??? ???,?/????? ,????? ???? ??? ??????? ?? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
657,Desalegne Regassa,?? ???? ??? ,????? ,????? ???? ??? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
658,Colonel Tsegay T/Medhin,???? ??? ???????? ,?/????? ,????? ???? ??? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
659,Getiye Dejen,??? ????? ??? ???,?/????? ,????? ???? ??? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
660,Yaekob Yala,?? ???? ?? ,?? ?? ?????,?????? ????????? ???? ???????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
661,Abera Mulat,?? ??? ??? ,???? ?? ?? ?????,?????? ????????? ???? ???????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
662,Adugna Debela,?? ??? ???,???? ?? ?? ?????,?????? ????????? ???? ???????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
663,Tadesse Berhe,?? ??? ???,???? ?? ?? ?????,?????? ????????? ???? ???????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
664,Lelise Nemie,?/? ??? ??,?? ?? ?????,??????? ???? ??? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
665,Belay Wadisha,?? ??? ??? /???? ??/,?????? ?/?? ???,?????? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
666,General Seare Mekonnen,???? ??? ???? ,??? ???? ???? ????? ?? ,???? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
667,Zewdu Zafa,?? ??? ??,?? ?????? ,?????? ???? ????? ????? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
668,Fikadu Seboka,?? ??? ??? ,??/?? ???,??????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
669,Abdisa Yadeta,?? ???? ???,?? ?????? ,???????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
670,Daba Oriyo,?? ?? ???,?? ?????? ,?????? ???? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
671,Biratu Yigezu,?? ??? ??? ,?? ?????? ,?????? ??????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
672,Reshid Mehamed,?? ??? ????,?? ?????? ,????? ??? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
673,Marta Lewoji,?/? ??? ??? ,?? ?????? ,?????? ??? ???? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
674,Tesfaye Shimelis,?? ???? ???? ,?? ?????? ,?????? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
675,Sileshi Lemma,?? ??? ?? ,?? ?????? ,?????? ?????? ?????? ??? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
676,Sultan Mehd,?? ???? ???,?? ?????? ,???? ?? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
677,Wana Wake,?? ?? ?? ,?? ?????? ,??? ??? ???,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
678,Geremew Garje Gidiba,?? ???? ??? ??? ,?? ?????? ,????? ??? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
679,Temesgen Tiruneh,?? ????? ????,?? ?????? ,???????? ??? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
680,Seyum Mekonnen,?? ??? ????,?? ?????? ,?????? ??? ????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
681,Reshid Kemal,?? ??? ??? ,?? ?????? ,????? ??? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
682,Sibhat Nega,?? ???? ??,?? ?????? ,?????? ????? ??? ??? ??? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
683,Yishak Abera,?? ???? ??? ,?? ?????? ,???? ??? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
684,Coloner Wosenyeleh Hunegnaw Tadeg,???? ?????? ???? ??? ,?? ?????? ,???? ????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
685,Wondu Legesse Gizaw,?? ??? ??? ??? ,?? ?????? ,??? ?????? ??? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
686,Bekele Bulado,?/? ??? ???,?? ?????? ,???? ???? ??????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
687,Yehulu Denekew,?? ??? ???? ,?? ?????? ,?????? ???????????? ??? ???? ?????? ???? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
688,Ermias Yemanebirhan,?? ????? ??????? ,?? ?????? ,?????? ??????? ???? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
689,Masresha G/Silassie,?? ???? ?/???,?? ?????? ,?????? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
690,Wondesen Mengistu,?? ?????? ????? ,?? ?????? ,???? ???? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
691,Yigezu Daba,?? ??? ??,?? ?????? ,?????? ??? ???? ????? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
692,Workneh Delelegne,?? ????? ????,?? ?????? ,???? ??? ?????? ??? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
693,Yonas Desta Nigaye,?? ??? ??? ???,?? ?????? ,?????? ??? ???? ??? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
694,Getachew Gizaw,?? ???? ??? ,?? ?????? ,???? ???? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
695,Gemechu Woyuma,?? ??? ???,?? ?????? ,?????? ????? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
696,Meseret G/Mariyam,?? ???? ?/???? ,?? ?????? ,??? ????? ?????? ????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
697,Getahun Tadesse,?? ???? ??? ,?? ?????? ,?????? ???? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
698,Solomon Getachew,?? ???? ???? ,?? ?????? ,?????? ??? ????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
699,Fetene Teshome,?? ??? ???,?? ?????? ,??????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
700,Kumera Waqjira,?? ??? ???? ,?? ?????? ,?????? ??? ????? ???? ??? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
701,Shalo Daba,?? ?? ?? ,?? ?????? ,??? ?? ?/??? ?????? ???.?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
702,Abrham Chosha,?? ????? ??,?? ?????? ,?????? ???? ???????? ??????? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
703,Atakilti Abrha,?? ????? ???? ,?? ?????? ,?????? ??? ??? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
704,Dr. Terzu Daya,?/? ??? ?? ,?? ?????? ,?????? ?? ?????? ???? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
705,Tsegaye G/Michael,?? ??? ?/???? ,?? ?????? ,??? ???? ????? ????? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
706,Ousman Surur Siraj,?? ???? ??? ???,?? ?????? ,????? ???? ?? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
707,Endalew Mekonnen,?? ????? ????,?? ?????? ,?????? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
708,Araya Fisha,?? ???? ???,?? ?????? ,?????? ???? ??????? ?/?? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
709,Esayas W/Giyorgis,?? ???? ?/????? ,?? ?????? ,???? ???? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
710,Anbesaw Enyew,?? ????? ???? ,?? ?????? ,?????? ???? ???? ????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
711,Sileshi Getahun,?? ??? ???? ,?? ?????? ,?????? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
712,Mandefro Nigussie,?/? ????? ???,?? ?????? ,?????? ???? ???? ???????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
713,A/Professor Nebiyu Baye,??? ????? ??? ??,?? ?????? ,?????? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
714,Samuel Halala,?? ???? ??? ,?? ?????? ,????? ???????? ????? ?????? ??? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
715,Enginner Moges Tibebu,????? ??? ??? ,?? ?????? ,?????? ???????? ????? ?????? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
716,Fisha Yitagessu,?? ??? ???? ,?? ?????? ,?????? ????? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
717,Araya G/Egzabher,?? ???? ?/??????? ,?? ?????? ,???? ??? ?????? ???? ????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
718,Dr. Kebede Kanchula,?/? ??? ???? ,?? ?????? ,???? ??? ???? ???? ??????,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
719,Zenebe Garedew,?? ??? ???? ,?? ?????? ,??? ????? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
720,Kalhid Bomba,?? ??? ??? ,?? ?????? ,????? ????????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
721,Fikadu T/Mariyam,?? ??? ?/???? ,?? ?????? ,???? ????? ???? ??? ?? ?? ???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
722,Solomon Kebede,?? ???? ???,?? ?????? ,???? ????? ??? ?? ?? ???? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
723,Mekonnen Abera Tadesse,?? ???? ??? ??? ,?? ?????? ,?????? ??? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
724,Enginner Tilahun Bireka,????? ???? ??? ,?? ?????? ,?????? ??? ??? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
725,Araya Girmay,?? ???? ???? ,?? ?????? ,?????? ??? ??? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
726,Wondu Adugna,?? ??? ??? ,?????? ?/?? ?? ?????? ,???? ????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
727,Sebsibe Kebede,?? ???? ???,?? ?????? ,?????? ??? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
728,Solomon Tesfaye,?? ???? ????,?? ?????? ,?????? ?????? ?????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
729,Hailesilassie Wores,?? ?????? ??? ,?? ?????? ,?????? ??? ??? ?????? ??? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
730,Tadelech Dalew,?/? ???? ??w,?? ?????? ,??????? ??? ???? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
731,Bekele Muleta,?? ??? ???,?? ?????? ,?????? ?? ?????? ???? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
732,Dr. Abrham K/Mariyam,?/? ????? ??????? ,?? ?????? ,????????? ?? ????????? ?????? ??? ??????? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
733,Gashe Yemane,?? ?? ??? ,?? ?????? ,?????? ???? ????? ??? ??? ,FEDERAL GOVERNMENT  APPOINTEE AS PER 2010 E.C DATA ,,
